"Recipient","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","type"
"      Bhutan","2.626 ","5.184 ","7.292 ","11.668 ","6.791 ","5.201 ","1.157 ","9.087 ","26.483 ","3.092 ","6.741 ","6.204 ","7.090 ","12.856 ","2.476 ","6.393 ","3.700 ","2.274 ","2.386 ","1.317 ","1.165 ","1.062 ","education"
"      Georgia","0.010 ","1.349 ","0.464 ","0.666 ","15.096 ","11.385 ","9.398 ","14.807 ","23.717 ","23.059 ","5.262 ","23.336 ","23.419 ","22.009 ","27.265 ","36.618 ","25.500 ","23.002 ","27.278 ","147.427 ","21.856 ","25.999 ","education"
"      India","55.996 ","322.618 ","66.263 ","40.063 ","96.508 ","73.715 ","297.099 ","55.757 ","83.983 ","436.867 ","29.612 ","65.428 ","80.900 ","83.503 ","326.533 ","107.432 ","123.204 ","121.985 ","188.817 ","472.130 ","179.163 ","184.964 ","education"
"      Kazakhstan","0.510 ","0.311 ","0.157 ","0.844 ","26.059 ","8.362 ","7.807 ","4.724 ","7.925 ","14.494 ","6.945 ","11.838 ","12.559 ","16.822 ","18.870 ","19.705 ","21.089 ","16.959 ","17.830 ","16.971 ","23.634 ","19.186 ","education"
"      Kyrgyzstan","0.026 ","0.153 ","0.041 ","0.192 ","2.401 ","3.565 ","10.086 ","2.558 ","6.445 ","9.733 ","4.319 ","7.530 ","12.080 ","11.603 ","21.390 ","13.230 ","19.743 ","16.204 ","22.614 ","12.781 ","13.864 ","16.690 ","education"
"      Maldives","5.746 ","7.009 ","5.925 ","7.332 ","0.139 ","2.535 ","0.068 ","4.920 ","1.157 ","1.613 ","1.172 ","1.672 ","8.310 ","2.662 ","1.790 ","3.622 ","2.287 ","1.664 ","1.036 ","0.945 ","1.290 ","1.069 ","education"
"      Myanmar","13.631 ","0.035 ","0.123 ","0.069 ","1.751 ","0.986 ","3.658 ","5.197 ","11.976 ","13.353 ","9.999 ","18.666 ","21.872 ","20.592 ","16.845 ","21.512 ","32.386 ","44.781 ","47.650 ","164.385 ","75.175 ","86.573 ","education"
"      Nepal","23.972 ","35.798 ","80.496 ","1.080 ","60.393 ","21.044 ","13.401 ","10.772 ","25.915 ","139.540 ","15.641 ","19.451 ","20.357 ","42.512 ","145.638 ","41.267 ","35.885 ","55.629 ","45.813 ","47.307 ","101.005 ","93.336 ","education"
"      Pakistan","23.964 ","65.820 ","42.265 ","41.065 ","9.140 ","21.175 ","15.120 ","63.506 ","67.873 ","81.434 ","94.723 ","151.088 ","164.288 ","192.690 ","443.707 ","328.973 ","234.863 ","193.878 ","252.149 ","220.366 ","212.579 ","422.831 ","education"
"      Sri Lanka","13.456 ","18.248 ","14.240 ","20.916 ","22.914 ","4.487 ","9.591 ","10.180 ","17.952 ","16.716 ","38.895 ","38.989 ","17.204 ","25.079 ","25.951 ","19.979 ","60.624 ","29.000 ","28.343 ","34.263 ","41.884 ","16.417 ","education"
"      Tajikistan","0.330 ","0.015 ",,"0.040 ","6.651 ","3.380 ","3.467 ","2.698 ","4.158 ","7.360 ","1.746 ","7.096 ","5.591 ","8.344 ","25.446 ","7.829 ","16.650 ","5.686 ","15.291 ","10.917 ","7.823 ","8.654 ","education"
"      Turkmenistan","0.250 ","0.285 ","0.223 ","0.103 ","6.461 ","0.816 ","1.523 ","0.685 ","0.703 ","0.924 ","0.430 ","1.282 ","2.162 ","1.815 ","2.036 ","3.234 ","2.363 ","2.298 ","1.645 ","1.554 ","7.546 ","1.486 ","education"
"      Uzbekistan","0.047 ","0.253 ","0.215 ","1.545 ","18.737 ","6.667 ","65.338 ","8.187 ","22.532 ","23.028 ","8.632 ","43.568 ","36.591 ","14.360 ","18.417 ","19.665 ","26.705 ","20.445 ","22.295 ","23.135 ","50.768 ","17.746 ","education"
"      Central Asia, regional",,,,,,,,,,,,"0.037 ","2.823 ","11.016 ","7.298 ","11.521 ","8.440 ","1.275 ","16.127 ","3.534 ","0.543 ","10.082 ","education"
"      South Asia, regional",,,,,,,,,,,"0.015 ","1.416 ",,"4.326 ","0.319 ","6.577 ","1.287 ","0.733 ","0.935 ","0.403 ","0.261 ",,"education"
"      South & Central Asia, regional","0.096 ","0.854 ",,"0.276 ","2.374 ","1.602 ","3.748 ","5.912 ","4.605 ","2.252 ","3.339 ","0.521 ","0.693 ","0.220 ","0.742 ","1.021 ","1.145 ","0.733 ","0.023 ","0.885 ",,,"education"
"    Middle East, Total","163.162 ","140.717 ","121.767 ","91.736 ","233.786 ","234.448 ","265.556 ","217.745 ","260.335 ","494.998 ","363.394 ","378.682 ","519.448 ","614.308 ","591.084 ","590.498 ","483.829 ","448.936 ","445.240 ","550.893 ","549.280 ","657.792 ","education"
"      Bahrain",,"0.063 ","0.057 ","0.100 ","0.140 ","0.201 ","0.174 ","0.246 ","0.428 ","0.346 ",,,,,,,,,,,,,"education"
"      Iran","0.195 ","10.029 ","8.936 ","8.787 ","88.295 ","63.463 ","56.825 ","51.731 ","58.582 ","58.005 ","17.631 ","50.459 ","51.347 ","51.245 ","56.724 ","55.773 ","63.266 ","68.770 ","68.463 ","64.986 ","74.723 ","76.854 ","education"
"      Iraq","0.396 ","0.765 ","1.062 ","1.373 ","4.912 ","6.627 ","6.956 ","7.366 ","10.478 ","193.267 ","154.166 ","67.512 ","158.560 ","150.301 ","98.424 ","87.001 ","44.972 ","50.481 ","39.658 ","28.260 ","55.985 ","41.921 ","education"
"      Israel","108.745 ","64.879 ",,,,,,,,,,,,,,,,,,,,,"education"
"      Jordan","3.682 ","2.367 ","60.272 ","4.052 ","24.122 ","18.391 ","63.700 ","22.115 ","26.463 ","50.816 ","18.075 ","17.950 ","67.964 ","112.062 ","122.783 ","140.409 ","104.146 ","59.538 ","87.618 ","124.292 ","96.750 ","229.886 ","education"
"      Kuwait","8.774 ",,,,,,,,,,,,,,,,,,,,,,"education"
"      Lebanon","20.641 ","10.652 ","11.232 ","5.539 ","29.308 ","33.866 ","35.454 ","32.622 ","38.212 ","46.421 ","32.849 ","69.745 ","81.573 ","68.478 ","58.719 ","106.598 ","68.153 ","84.286 ","82.823 ","140.164 ","132.897 ","139.945 ","education"
"      Oman","0.069 ","0.288 ","0.253 ","0.396 ","0.113 ","0.442 ","0.175 ","0.385 ","0.406 ","0.696 ","0.590 ","0.818 ","1.041 ","0.951 ","1.772 ","1.748 ",,,,,,,"education"
"      Qatar",,,,,,,,,,,,,,,,,,,,,,,"education"
"      Saudi Arabia","3.518 ","0.899 ","0.714 ","0.529 ","1.386 ","1.256 ","1.372 ","1.446 ","3.513 ","4.053 ","3.621 ","6.986 ","7.818 ",,,,,,,,,,"education"
"      Syrian Arab Republic","1.035 ","3.091 ","3.109 ","3.970 ","23.301 ","24.360 ","26.243 ","31.402 ","35.185 ","39.880 ","19.757 ","52.742 ","58.170 ","63.615 ","64.613 ","59.510 ","59.462 ","53.786 ","52.939 ","45.970 ","58.027 ","86.219 ","education"
"      United Arab Emirates",,,,,,,,,,,,,,,,,,,,,,,"education"
"      West Bank and Gaza Strip","13.282 ","33.762 ","31.283 ","40.714 ","51.060 ","62.823 ","37.190 ","51.882 ","59.335 ","29.015 ","77.683 ","60.482 ","29.522 ","63.915 ","131.584 ","93.760 ","91.958 ","57.606 ","79.106 ","108.961 ","87.654 ","49.600 ","education"
"      Yemen","0.126 ","4.872 ","0.850 ","23.252 ","5.698 ","20.139 ","34.859 ","13.014 ","26.255 ","69.304 ","38.385 ","46.394 ","60.092 ","93.721 ","51.833 ","41.739 ","45.854 ","55.668 ","31.710 ","31.465 ","43.117 ","22.958 ","education"
"      Middle East, regional","2.699 ","9.049 ","3.999 ","3.025 ","5.452 ","2.881 ","2.608 ","5.536 ","1.478 ","3.195 ","0.636 ","5.593 ","3.361 ","10.021 ","4.633 ","3.959 ","6.018 ","18.802 ","2.922 ","6.794 ","0.128 ","10.409 ","education"
"    Asia, regional","20.325 ","16.176 ","13.420 ","5.309 ","21.865 ","24.248 ","7.517 ","23.381 ","18.258 ","16.133 ","30.375 ","20.637 ","6.525 ","17.262 ","12.609 ","15.106 ","25.175 ","12.107 ","34.645 ","26.613 ","52.442 ","28.747 ","education"
"  Oceania, Total","71.644 ","140.989 ","246.716 ","112.084 ","140.747 ","195.996 ","89.965 ","112.239 ","245.163 ","189.045 ","162.463 ","167.198 ","351.863 ","292.061 ","292.380 ","279.400 ","248.384 ","316.101 ","252.048 ","282.507 ","271.622 ","228.683 ","education"
"    Cook Islands","0.900 ","2.210 ","1.315 ","0.745 ","0.185 ",,,"2.352 ","2.325 ","4.484 ","2.759 ","4.541 ","3.629 ","9.519 ","0.903 ","5.446 ","0.665 ","7.677 ","0.981 ","0.733 ","8.750 ","1.760 ","education"
"    Fiji","11.972 ","17.449 ","16.196 ","10.390 ","8.055 ","4.254 ","1.112 ","6.943 ","32.826 ","4.610 ","6.292 ","3.784 ","5.109 ","24.027 ","10.141 ","8.532 ","13.961 ","17.326 ","14.528 ","14.980 ","16.454 ","18.803 ","education"
"    French Polynesia","0.107 ","0.998 ","0.922 ",,"1.424 ",,,,,,,,,,,,,,,,,,"education"
"    Kiribati","5.277 ","15.863 ","1.180 ","11.437 ","4.408 ","12.524 ","3.852 ","4.005 ","2.863 ","3.656 ","1.284 ","2.010 ","1.787 ","8.501 ","2.052 ","13.128 ","9.160 ","10.933 ","8.626 ","10.273 ","16.034 ","9.611 ","education"
"    Marshall Islands","4.977 ","0.102 ","0.737 ",,"1.020 ","0.000 ",,"0.366 ","1.099 ","14.861 ","15.269 ","15.037 ","15.914 ","15.606 ","16.662 ","1.560 ","1.657 ","24.516 ","1.116 ","21.643 ","18.317 ","6.140 ","education"
"    Micronesia","0.352 ","1.990 ","3.995 ",,"2.028 ",,,"0.265 ","1.433 ","34.428 ","34.367 ","31.719 ","32.841 ","33.100 ","33.977 ","2.392 ","1.837 ","44.051 ","1.699 ","68.065 ","43.564 ","13.783 ","education"
"    Nauru",,"0.722 ","0.092 ","0.771 ","0.181 ","0.006 ",,"0.011 ","0.020 ","0.178 ","1.598 ","4.727 ","1.686 ","4.686 ","2.589 ","0.563 ","2.809 ","4.661 ","4.327 ","2.823 ","5.664 ","2.781 ","education"
"    New Caledonia","0.320 ","3.930 ","1.598 ","0.306 ","3.084 ",,,,,,,,,,,,,,,,,,"education"
"    Niue","0.522 ","1.407 ","0.442 ",,"0.821 ",,,"0.979 ","0.763 ","0.469 ","1.184 ","0.310 ","0.739 ","0.273 ","0.369 ","0.261 ","1.301 ","2.717 ","2.012 ","0.162 ","0.397 ","0.713 ","education"
"    Northern Mariana Islands",,,,,"0.005 ",,,,,,,,,,,,,,,,,,"education"
"    Palau",,"0.686 ","1.399 ",,"0.724 ","0.031 ","0.252 ","0.333 ","1.044 ","1.000 ","1.046 ","0.834 ","0.749 ","0.791 ","0.577 ","0.646 ","0.864 ","1.114 ","1.548 ","1.020 ","0.802 ","0.628 ","education"
"    Papua New Guinea","3.804 ","44.169 ","197.109 ","46.579 ","80.696 ","154.723 ","26.115 ","6.995 ","112.633 ","20.177 ","21.807 ","12.714 ","42.876 ","43.758 ","50.978 ","95.613 ","68.977 ","69.492 ","50.322 ","41.621 ","28.604 ","53.878 ","education"
"    Samoa","19.459 ","5.172 ","8.745 ","12.925 ","4.227 ","2.771 ","0.106 ","9.481 ","2.320 ","16.281 ","14.576 ","54.652 ","4.340 ","4.144 ","11.536 ","12.412 ","17.819 ","14.806 ","13.704 ","10.441 ","20.299 ","18.792 ","education"
"    Solomon Islands","2.580 ","9.523 ","0.698 ","3.906 ","8.211 ","4.919 ","1.287 ","1.224 ","7.109 ","10.189 ","29.211 ","5.817 ","36.970 ","4.590 ","32.258 ","12.636 ","10.475 ","16.613 ","42.573 ","13.839 ","15.334 ","26.624 ","education"
"    Tokelau","0.037 ",,"0.147 ","0.135 ","0.302 ",,,"0.207 ","0.348 ","0.436 ","0.386 ","0.259 ","0.207 ","0.598 ",,"0.007 ","0.345 ",,,"1.064 ","1.062 ","2.602 ","education"
"    Tonga","2.502 ","4.837 ","5.709 ","3.339 ","3.215 ","1.699 ","0.473 ","3.075 ","3.905 ","6.015 ","4.747 ","16.593 ","3.588 ","6.392 ","5.443 ","13.305 ","10.754 ","7.356 ","13.726 ","8.751 ","6.419 ","5.371 ","education"
"    Tuvalu","1.310 ","8.353 ","0.457 ","1.732 ","1.068 ","1.668 ",,"1.919 ","1.042 ","2.124 ","1.548 ",,"3.365 ","0.859 ","1.069 ","5.092 ","7.856 ","1.616 ","1.972 ","1.806 ","3.578 ","1.156 ","education"
"    Vanuatu","4.383 ","21.056 ","4.404 ","17.263 ","10.365 ","7.179 ","2.291 ","5.877 ","14.077 ","7.158 ","18.179 ","8.484 ","8.124 ","50.336 ","34.311 ","8.879 ","20.572 ","15.453 ","21.672 ","11.463 ","13.432 ","16.360 ","education"
"    Wallis and Futuna","0.049 ",,,,,,"50.264 ","52.056 ","51.970 ","52.179 ",,"0.130 ","59.596 ","56.855 ","56.876 ","56.665 ","55.710 ","56.730 ","56.701 ","56.032 ","53.073 ","36.023 ","education"
"    Oceania, regional","13.095 ","2.521 ","1.571 ","2.557 ","10.729 ","6.223 ","4.212 ","16.153 ","9.388 ","10.800 ","8.210 ","5.587 ","130.343 ","28.025 ","32.639 ","42.263 ","23.623 ","21.040 ","16.542 ","17.791 ","19.840 ","13.658 ","education"
